ID;ID_Sinonimo;Expressions;Pandas_Expressions;ID_DIR;Qtd_Words
1;0;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
1;1;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
1;2;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
1;3;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
1;4;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive identification',case=False,na=False)))];1.1.1;2
1;5;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive information',case=False,na=False)))];1.1.1;2
1;6;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative format',case=False,na=False)))];1.1.1;2
1;7;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text translate',case=False,na=False)))];1.1.1;2
1;8;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('label',case=False,na=False)))];1.1.1;2
1;9;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
